PAX_POINTS
 ABBAIPALEM BS
 ESTEEM  MALL 
 H GHAT BS
 NAGAR KURNOOL BS
 NAGARJUNA SAGAR BS
 PENUGOLANU BS
 VM BANZARA BS
5 INCLINE
8INCLINE COLONY BS
A S RAO NAGAR
AC GAURDS
ACHAMPET BS
ADDA ROAD
ADDANKI
ADDANKI BS
ADILABAD BS
ADONI BS
AFZALGUNJ
AHMEDNAGAR BS
ALAMPUR X RD
ALAVALAPADU
ALLADURG BS
ALLAGADDA BS
ALLAGADDA BYPASS
ALLWYN COLONY X ROAD
ALPHA HOTEL SECUNDERABAD
ALURU
ALWAL
ALWAL BUS STOP
AMALAPURAM
AMALAPURAM BS
AMANGAL BS
AMARAVATHI BS-MH
AMBAJIPET
AMBAJIPET BS
AMEERPET-METRO PILLAR NO-1077-1078
ANAKAPALLI BYE PASS
ANAKAPALLY BS
ANANTAPUR BS
ANANTHAPUR BYPASS
ANGADIPETA
ANKISA
ANNAVARAM BS
AP BORDER
ARAMGHAR
ARAMGHAR BUS STOP
ARMOOR
ARMOOR BS
ARUNACHALAM ROUND TRIP
ASIFABAD BS
ASRELLY
ASTAMOD
ASWAPURAM BS
ASWARAOPET BS
ATMAKUR BS-NLR
ATMAKUR M
ATTAPUR
AUTONAGAR - VJA
B-ZONE
B.N.REDDY NAGAR
BADDIPADAGA
BAGEPALLY X RD BS
BAHDURPURA
BALANAGAR
BALAPUR X RD
BALKONDA BS
BANAGANAPALLY BS
BANDARULANKA
BANJARAGUDEM X RD
BANSWADA BS
BANSWADA X RD
BAPATLA BS
BASANTH NAGAR-GDK
BASANTHNAGAR BS
BASARA BS
BASWAPOOR
BATPALLY
BATTALAPALLY
BAYYARAM BS
BEERAMGUDA
BEGUMPET MANTHANI
BEGUMPET-VIVANTHA 
BEJJENKI
BELLAMPALLY BS
BELLARY
BENGALURU ELE.CITY KONAPPANA AGRHR BS
BENGALURU ELE.CITY PHASE 2 NR TOLL PLAZA
BENGALURU SHANTHI NAGAR BMTC BS
BENZ CIRCLE-VJA
BHADHRACHALAM PAPER BOARD LTD
BHADRACHALAM BS
BHAINSA BS
BHARATHNAGAR
BHEEMARAM BS MNCL
BHEL ASHOKNAGAR
BHEL RAMACHANDRAPURAM 
BHEL-ASHOK NAGAR
BHEL-BEERAMGUDA
BHEL-KEERTHI MAHAL
BHEL-LINGAMPALLY
BHIMADOLU BS
BHIMAVARAM BS
BHOGAPURAM BS
BHONGIRI
BHONGIRI BS
BHOOM BS
BHOOTHPUR
BHUPALAPATNAM
BHUPALPALLY BS
BIDAR
BIJENEPALLY
BIJINAPALLY
BIRSAIPET-ADB
BNG KEMPEGOWDA BS TERMINAL 1
BOATH BS
BODHAN
BODHAN BS
BODMATPALLY BS
BOOTHPUR
BOREVELI -MUMBAI
BOWENPALLY
BRAHMANAPALLI
BUDDARAM
BURGAMPAHAD BS
CARE HOSPITAL
CCC TOWNSHIP
CCC X ROAD
CENTENARY COLONY BS
CHALVAI
CHANDANAGAR
CHANDAPUR
CHANDRUGONDA
CHANUBANDA
CHEGUNTA BS
CHELPUR BS
CHENGICHERLA
CHENNAI MADHAVARAM BUS TERMINUS
CHENNARAM
CHENNUR MNCL BS
CHIKBALLAPUR BS
CHILAKALURIPETA BS
CHILAKAPALEM 
CHILLAKALLU
CHINA BOINPALLY
CHINTAL
CHINTAPALLY
CHINTUR -CHATTI
CHIRALA BS
CHITYAL BS
CHOPPADANDI BS
CHOUTUPPAL BS
COLUMBIA ASIA HOSPITAL MYSORE
D-MART SUPER MARKET 
DACHEPALLY BS
DALIMBU
DAMMAPET BS
DAMPAL BS
DANDEPALLY
DANDEPALLY -MEDARIPET
DARGA SHAIKPET
DARSI BS
DECCAN SHIVA KSHETRALU
DEVANHALLI BS
DEVAPUR BS
DEVARAKADRA BS
DEVARAKONDA BS
DEVARAPALLY BS
DEVERAPALLI -  RJY
DHARMAPURI BS
DHARMARAM BS
DHARMARAM-SDPT
DHARMAVARAM BS
DHONE BS
DICH CAMP
DICHPALLY BS
DICHPALLY X ROAD
DILSUKHNAGAR
DINDI BS
DIWAN CHERUVU RJY
DOMALAPENTA BS
DONDAPUDI BS
DORNALA BS
DORNAPALLY BS
DUBBAKA
DUDDEDA BS
DUDDUPUDI BS
DUTTALUR BS
DWARAKA BUS STATION VSP
ECIL CROSS ROADS
ECIL X ROAD BUS STOP
ECIL-KAPRA MCPL OFFCE
EEGALAPENTA BS
EEPURU
ELKATURTHY
ELURU
ELURU ASHRAM HOSPITAL
ELURU BS
ELURU BYPASS
EMMIGANURU
ENKURU BS
EPURUBS
ERRAVALLY
ESTEEM MALL BNG
ETURUNAGARAM BS
FCI CROSS ROAD
GACHIBOWLI
GACHIBOWLI ORR
GACHIBOWLI-CHAKDE RESTUARENT
GADAG BS
GADWAL BS
GAJUWAKA
GAJWEL-PRAGNAPUR BS
GANDHARI
GANDHI SQURE MYSORE
GANGADHARA BS
GANGADHARA X ROAD BS
GANGARAM X ROAD
GANGAVATHI BS
GANNAVARAM BS
GANUGAPUR BS KA
GARIDEPALLI BS
GDK 5 INCLANE
GENCO-KTPP BS
