PAX_CITIES
8INCLINE COLONY
ABBAIPALEM
AC GAURDS
ACHAMPET
ADDA ROAD
ADDANKI
ADILABAD
ADONI
AHMEDNAGAR
ALAMPUR X RD
ALAVALAPADU
ALLADURG
ALLAGADDA
ALURU
AMALAPURAM
AMANGAL
AMARAVATHI-MH
AMBAJIPET
ANAKAPALLY
ANANTAPUR
ANGADIPETA
ANKISA
ANNAVARAM
AP BORDER
ARAMGHAR
ARMOOR
ARUNACHALAM ROUND TRIP
ASIFABAD
ASRELLY
ASTAMOD
ASWAPURAM
ASWARAOPET
ATMAKUR M
ATMAKUR-NLR
B-ZONE
BADDIPADAGA
BAGEPALLY X RD
BAHDURPURA
BALAPUR X RD
BALKONDA
BANAGANAPALLY
BANJARAGUDEM X RD
BANSWADA
BANSWADA X RD
BAPATLA
BASANTH NAGAR-GDK
BASANTHNAGAR
BASARA
BASWAPOOR
BATPALLY
BATTALAPALLY
BAYYARAM
BEGUMPET MANTHANI
BEGUMPET-VIVANTHA 
BEJJENKI
BELLAMPALLY
BELLARY
BENGALURU
BHADRACHALAM
BHAINSA
BHEEMARAM MNCL
BHIMADOLU
BHIMAVARAM
BHOGAPURAM
BHONGIRI
BHOOM
BHOOTHPUR
BHUPALAPATNAM
BHUPALPALLY-HNK
BIDAR
BIJENEPALLY
BIJINAPALLY
BIRSAIPET-ADB
BOATH
BODHAN
BODMATPALLY 
BOOTHPUR
BRAHMANAPALLI
BUDDARAM
BURGAMPAHAD
CENTENARY COLONY
CHALVAI
CHANDRUGONDA
CHANUBANDA
CHEGUNTA
CHELPUR
CHENNAI
CHENNARAM
CHENNUR MNCL
CHIKBALLAPUR
CHILAKALURIPETA 
CHILAKAPALEM 
CHILLAKALLU
CHINA BOINPALLY
CHINTAPALLY
CHIRALA
CHITYAL
CHOPPADANDI
CHOUTUPPAL
DACHEPALLY
DALIMBU
DAMMAPET
DAMPAL
DANDEPALLY
DANDEPALLY -MEDARIPET
DARSI
DECCAN SHIVA KSHETRALU
DEVANHALLI
DEVAPUR
DEVARAKADRA
DEVARAKONDA
DEVARAPALLY 
DEVERAPALLI -  RJY
DHARMAPURI
DHARMARAM
DHARMARAM-SDPT
DHARMAVARAM
DHONE
DICH CAMP
DICHPALLY
DINDI
DOMALAPENTA
DONDAPUDI
DORNALA
DORNAPALLY
DUBBAKA
DUDDEDA
DUDDUPUDI-SPL
DUTTALUR
EEGALAPENTA
EEPURU
ELKATURTHY
ELURU
EMMIGANURU
ENKURU
EPURU
ERRAVALLY
ETURUNAGARAM
GACHIBOWLI
GADAG
GADWAL
GAJWEL-PRAGNAPUR
GANDHARI
GANGADHARA
GANGADHARA X ROAD
GANGARAM X ROAD
GANGAVATHI
GANNAVARAM
GANUGAPUR KA
GARIDEPALLI
GENCO-KTPP
GHANPUR 
GHANPUR X ROAD
GIRNIBAVI
GODAVARIKHANI
GOLETI TOWNSHIP
GOLLAPUDI WYRA
GONEGANDLA
GOOTY
GOPALAPURAM
GOPALPET
GOVINDARAOPET-HNK
GOWRARAM
GUDEPPAD
GUDIHATNUR
GUDIVADA
GUDUR
GUDUR WARANGAL 
GUNDLAPALLY
GUNJAPADUGU
GUNTUR
GURRALAGONDI
H GHAT
HABSIPUR-SDPT
HAJIPUR
HALIYA
HANUMAN JUNCTION
HAZIPUR-DONABANDA
HILL COLONY
HUBLI
HUMNABAD
HUSNABAD
HUZURABAD
HUZURNAGAR
HYDERABAD
HYDERABAD AIRPORT-RGIA
HYDERABAD DARSHAN 2
IB TANDUR
IBRAHIMPATNAM - VIJAYAWADA
ICHODA
INDALVAI
INDANAPALLY
INDAPUR
INDREVALLI
JADCHERLA
JAGADALPUR
JAGANNADAPURAM
JAGGAIHPET
JAGGAMPET
JAGITYAL
JAINUR
JAIPUR
JAKKAPUR
JALKOT
JALLAPUR
JAMKHED
JAMMIKUNTA
JANAGAM
JANAMPETA
JANGALPALLY
JANGAREDDY GUDEM
JANGOAN
JANNARAM
JBS
JILLELA X RD
JNTU
JOGIPET
JULURUPADU
JUVVALAPALEM
KAARTHIKA MAASAM PACKAGE 1-ECIL
KAARTHIKA MASAM DARSHINI-2-ECIL
KAARTHIKA MASAM DIVYA DARSHINI-1
KADAM
KADAPA
KADIRI
KADTAL
KAGAZNAGAR
KAGAZNAGAR X ROAD
KAKINADA
KALAKOTA
KALESWARAM
KALIDINDI
KALLERU-MOTU
KALLUR
KALWAKURTHY
KAMALAPURAM
KAMANPUR
KAMAREDDY
KAMBHAM PADU
KAMMARPALLY
KANCHIKACHERLA
KANDUKUR
KANDUKUR-KDTL
KANDUKUR-SATTUPALLY
KANIGIRI
KANIPAKAM
KANKIPADU
KANNAPURAM
KARAMPUDI
KARATAGI
KAREPALLY X ROAD
KARIMNAGAR
KASIPETA
KATARAM
KAVALI
KHAMMAM
KHANAPUR-NRML
KODAD
KODAKANDLA
KODUMUR
KOLLAPUR
KOMURAVELLY
KOMURAVELLY X ROAD 
KONDAGATTU
KONDAMALLEPALLY
KOPPAL
KORUTLA
KOTHAGUDEM
KOTHAKOTA
KOTHAPALLI
KOTHAPET
KOTHAPETA-AMP
KOUTALA
KOVVUR
KOYYALAGUDEM
KOYYUR
KSTM PALLY X ROAD 
KUKKUNURU
KUKKUNURUPALLY
KUKNURPALLY
KUNTA BCM 
KUNTA-MRKP
KURICHEDU
KURNOOL
KUSUMANCHI
LAKDIKAPOOL
LB NAGAR
LUXETTIPET
MACHERLA
MACHILIPATNAM
MADANAPALLY
MADHIRA
MAHABUBABAD
MAHABUBNAGAR
MAHADEVPUR
MAHOL
MAISI GANDI
MAKTHAL
MALKI PURAM
MALL
MALLAMPALLY
MALLEPALLY
MALLIAL
MALLURU
MALYAL X RD
MAMDA
MANCHERIAL
MANDALAPALLI
MANDAMALLAMMA
MANDAMARRI
MANDAPETA
MANDARIPET
MANGAPET
MANNAEKHELLI
MANNANOOR
MANTHANI
MANTRALAYAM
MANUGUR
MANVI
MARIKAL
MARKAPURAM
MARLAPADU
MARLAPADU VEMSOOR
MEDAK
MEDARAM
MEDERAMETLA
MEDIPALLY
MEHDIPATNAM
METPALLY
MIRYALGUDA
MIYAPUR DEPOT
MIYAPURXRD
MOHAMEDNAGAR
MOLAKALA CHERUVU
MONDIKUNTA
MORAMPALLY BANJARA
MORTHAD
MOTHEY
MOTHKUR
MOTU
MP BANJAR
MUDHELI X RD
MUDHOLE
MUDIGUBBA
MUDINEPALLI
MUKKAMALA
MULAKALAPALLI
MULUGU
MULUGU-GPP
MUMBAI
MYDUKUR
MYLAVARAM
MYSORE
NAGAR KURNOOL
NAGARJUNA SAGAR
NAGOLEXRD
NAGPUR
NAIDUPET
NAKARIKALU-ADK
NAKKAPALLY
NAKREKAL
NALDURG
NALGONDA
NALLAJERLA
NAMPALLY
NANDIGAMA
NANDYAL
NARAYANKHED
NARAYANPET
NARKETPALLY
NARSAMPET
NARSAPUR
NARSARAOPET
NASRULLABAD
NAYAKANGUDEM
NAYUDUPETA
NELAKONDAPALLI
NELLORE
NEMALI
NERADIGONDA
NEREDUCHARLA
NERELLA
NIDAMANUR MLG
NIMS
NIRMAL
NIZAMABAD
NIZAMPET-NKD
NMDC
NUZVID
OMERGA
ONGOLE
OSMANABAD
P KUNTA
PAHADI SHARIEF
PALADUGU
PALAKOLLU
PALAMANERU
PALEM
PALER
PALERU
PALVANCHA
PAMARRU
PAMURU
PANCHARAMALU
PANDARIKODA
PANDARIPUR
PANDITHAPURAM
PANGIDI
PANVEL
PANYAM
PARIGI
PARKALA
PASRA
PATANCHERU
PATHALANKAPALLI
PATNY
PATVARI GUDEM
PEBBAIR
PEDAPALLI
PEDDA SAMUDRALA
PEDDAKOTHAPALLY
PEDDAPALLY
PEDDAPURAM
PEDDAVOORA
PENUGANGA
PENUGOLANU
PENUGONDA
PERECHARLA
PIDUGURALLA
POCHAMPAD
POCHAMPAD XROAD
PODILI
POLAVARAM
PONNALUR
PONNUR
POODUR
PRAGNAPUR
PRODDUTUR
PUDURU
PUNE
PUNGANUR
PYAPILI
PYLON
RAHMATABAD
RAICHUR
RAILWAY KODUR
RAJAHMUNDRY
RAJAMPET
RAJUPET
RAMACHANDRAPURAM KKD
RAMAYAMPET
RANASTHALAM
RANIGUNJ
RAURI
RAVULAPALEM
RAYAGIRI
RAYALA CHERUVU
RAZOLU
REBBANA
REGONDA
REJARLA-SPL
RENIGUNTA
RGIA 
RUDRAMPUR
RUDROOR
SADASIVAPET
SAMARLAKOTA
SANGAREDDY
SANGEETH
SANIGARAM
SANTHAMAGULURU
SANTHAMANGALUR X
SASTHAPUR
SATHUPALLY
SATTANPALLY KADAM
SATTENAPALLY
SECRETARIAT
SECUNDERABAD RLYSTN
SHADNAGAR
SHAKTHINAGAR
SHAMSHABAD
SHANKARAMPET
SHILPARAMAM
SHIRIDI
SHOLAPUR
SIDDARAM SPL
SIDDIPET
SINDANOOR
SINGARAYA KONDA
SINGARENI DARSHAN
SIRICILLA
SIRIGIRI PADU
SIRIPURAM
SIRIPURAM K.G
SIRONCHA
SIRPUR
SOMAGUDEM X ROAD
SOMANPALLY
SONALA
SPL-NARAYANA PURAM
SRI KALA HASTHI
SRIKAKULAM
SRIRAMPUR COLONY
